country,city,latitude,longitude,address
Afghanistan,Kabul,34.5266431,69.1849082,NA
Albania,Durres,41.313255,19.4462348,NA
Albania,Elbasan,41.1126792,20.0820858,NA
Albania,Korce,40.6158967,20.7772187,NA
Albania,Tirana,41.3281482,19.8184435,NA
Albania,Vlore,40.4707602,19.4912716,NA
Albania,Vrith,42.3314444,19.5422191,NA
Algeria,Algiers,36.7729333,3.0588445,NA
Andorra,Escaldes-Engordany,42.486196,1.6037711,NA
Argentina,Buenos Aires,-34.6083696,-58.4440583,NA
Australia,Adelaide,-34.9281805,138.5999312,NA
Australia,Albany,-35.0247822,117.883608,NA
Australia,Albury,-36.0737734,146.9135265,NA
Australia,Armidale,-30.5144881,151.6656564,NA
Australia,Ayr,-19.5758597,147.4044626,NA
Australia,Bathurst,-33.4166378,149.5804943,NA
Australia,Bream Creek,-42.80871,147.83184,NA
Australia,Brisbane,-27.4689623,153.0235009,NA
Australia,Bunbury,-33.3267797,115.636698,NA
Australia,Busselton,-33.644499,115.3488754,NA
Australia,Campbell Town,-41.9284173,147.4958801,NA
Australia,Canberra,-35.2975906,149.1012676,NA
Australia,Casuarina,-12.3737641,130.8823639,NA
Australia,Central Coast,-33.3117096,151.3120675,NA
Australia,Collie,-33.3591223,116.1536169,NA
Australia,Cygnet,-43.1599075,147.0759409,NA
Australia,Darwin,-12.46044,130.8410469,NA
Australia,Deloraine,-41.5250938,146.65993,NA
Australia,Derby,-17.3031912,123.6287226,NA
Australia,Devonport,-41.1797561,146.3613011,NA
Australia,Exeter,-34.8384893,138.4907683,NA
Australia,Fingal,-41.63984,147.969899,NA
Australia,Geelong,-38.1493248,144.3598241,NA
Australia,Geeveston,-43.1637889,146.9275129,NA
Australia,George Town,-41.1050157,146.8238459,NA
Australia,Geraldton,-28.77035,114.6147159,NA
Australia,Gladstone,-23.8431724,151.256132,NA
Australia,Glenorchy,-42.8339024,147.274444,NA
Australia,Gold Coast,-28.0023731,153.4145987,NA
Australia,Goldfields,-28.477565,151.7067961,NA
Australia,Gretna,-42.6789874,146.9369345,NA
Australia,Gunnedah,-31.0237593,150.2036527,NA
Australia,Hadspen,-41.5053768,147.065562,NA
Australia,Hobart,-42.8825088,147.3281233,NA
Australia,Huonville,-43.0292365,147.0502785,NA
Australia,Illawarra,-37.0681865,142.6889049,NA
Australia,Ipswich,-27.6160323,152.7608348,NA
Australia,Jondaryan,-27.3839245,151.5842807,NA
Australia,Judbury,-42.9945236,146.9292578,NA
Australia,Launceston,-41.4340813,147.1373496,NA
Australia,Lilydale,-37.7576639,145.352405,NA
Australia,Longford,-41.5936936,147.1215353,NA
Australia,Mackay,-21.141956,149.1865149,NA
Australia,Melbourne,-37.8142454,144.9631732,NA
Australia,Midwest,-37.8217077,144.7543232,NA
Australia,Moranbah,-22.0030414,148.0432658,NA
Australia,Mornington,-16.5630285,139.3431228,NA
Australia,Mount Isa,-20.7289898,139.4931522,NA
Australia,Muswellbrook,-32.4881159,150.516408,NA
Australia,Narrabri,-30.3278407,149.5571542,NA
Australia,New Norfolk,-42.7801998,147.0615332,NA
Australia,Newcastle,-32.9192953,151.7795348,NA
Australia,Oatlands,-42.3018682,147.3728654,NA
Australia,Orange,-33.2820463,149.0971567,NA
Australia,Palmerston,-35.1944606,149.1194145,NA
Australia,Perth,-31.9558967,115.8605784,NA
Australia,Port Pirie,-33.1791249,138.0058614,NA
Australia,Queenstown,-42.0801236,145.5553843,NA
Australia,Scottsdale,-41.1603858,147.5147988,NA
Australia,Sheffield,-41.3818415,146.3271826,NA
Australia,Singleton,-32.602355,151.1132887,NA
Australia,Smithton,-40.8415455,145.1282245,NA
Australia,South Launceston,-41.4523634,147.1475513,NA
Australia,Southwest,-42.8499985,146.1399994,NA
Australia,Springwood,-33.7017613,150.5655467,NA
Australia,St Helens,-41.3236306,148.2493858,NA
Australia,Sunshine Coast,-26.6544338,153.0933668,NA
Australia,Sydney,-33.8698439,151.2082848,NA
Australia,Tamworth,-31.0900743,150.9290159,NA
Australia,Townsville,-19.2569391,146.8239537,NA
Australia,Traralgon,-38.1946636,146.5381646,NA
Australia,Triabunna,-42.504035,147.9139308,NA
Australia,Upper Hunter,-31.9812831,150.6469825,NA
Australia,Wagga Wagga,-35.115,147.3677778,NA
Australia,West Ulverstone,-41.1470375,146.1599884,NA
Australia,Westbury,-41.5281494,146.8325214,NA
Australia,Whyalla,-33.0382085,137.5843572,NA
Australia,Wollongong,-34.4243941,150.89385,NA
Australia,Wynnum,-27.4377187,153.1659743,NA
Australia,Wynyard,-40.9875424,145.7282223,NA
Australia,Wyong,-33.2825132,151.4256691,NA
Australia,Yarwun,-23.81179,151.1427291,NA
Austria,Am Rechen,48.2098562,15.1955989,NA
Austria,Amstetten,48.1203262,14.8752424,NA
Austria,Arnoldstein,46.548718,13.7071246,NA
Austria,Bad Ischl,47.7115299,13.6239333,NA
Austria,Bad Voslau,47.9655519,16.2148073,NA
Austria,Biedermannsdorf,48.0835028,16.346171,NA
