Region;iso3;Country;City/Town;concentrationPM10;AnnualmeanPM25;Year;nbLocationsPM25;Temporal coverage;Reference;Latitude;Longitude;convertionPM10;convertionPM25;nbLocationspm10;version;convertedpm10;convertedpm25
Emr LMI;AFG;Afghanistan;Kabul;260;86;2009;1 station, 1 station: urban;;"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012";;;measured data;measured data;1 station, 1 station: urban;2016;FALSE;FALSE
Emr LMI;AFG;Afghanistan;Mazar-e Sharif;334;68;2009;1 station, 1 station: urban outskirts;;"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012";;;measured data;measured data;1 station, 1 station: urban outskirts;2016;FALSE;FALSE
Eur LMI;ALB;Albania;TIRANA;32;16;2013;1 station, traffic, urban;;European Environment Agency, Air quality e-reporting database;;;measured data;measured data;1 station, traffic, urban;2016;FALSE;FALSE
Eur HI;AND;Andorra;Escaldes-Engordany;18;11;2014;1 station, urban;;Qualitat de l'aire a Andorra;;;measured data;measured data;1 station, urban;2016;FALSE;FALSE
Amr HI;ARG;Argentina;Buenos Aires;26;14;2015;;;Agencia de Proteccion Ambiental, Buenos Aires;;;measured data;converted from PM10;3 stations, residencial commercial;2016;FALSE;TRUE
Wpr HI;AUS;Australia;Adelaide;17;7;2014;2 stations, Residential (outer urban);;Environment Protection Authority;;;measured data;measured data;7 stations, Residential (outer urban) and residential/light industry;2016;FALSE;FALSE
Wpr HI;AUS;Australia;Albany;16;7;2014;;;http://www.der.wa.gov.au/your-environment/air;;;measured data;converted from PM10;1 station, rural (small town);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Albury;16;7;2014;;;http://www.environment.nsw.gov.au/AQMS/;;;measured data;converted from PM10;1 station, Rural (small town);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Ayr;20;9;2014;;;http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/;;;measured data;converted from PM10;1 station, Rural (small town);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Bathurst;15;6;2014;;;http://www.environment.nsw.gov.au/AQMS/;;;measured data;converted from PM10;1 station, Rural (small town);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Brisbane;16;6;2014;4 stations, Residential (inner urban);;http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/;;;measured data;measured data;8 stations, Residential (inner urban);2016;FALSE;FALSE
Wpr HI;AUS;Australia;Bunbury;16;8;2014;1 station, rural (small town);;http://www.der.wa.gov.au/your-environment/air;;;measured data;measured data;1 station, rural (small town);2016;FALSE;FALSE
Wpr HI;AUS;Australia;Busselton;17;7;2014;1 station, rural (small town);;http://www.der.wa.gov.au/your-environment/air;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Canberra;16;7;2014;1 station, Monash district playing fields;;http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Central Coast;13;6;2014;1 station, race course;;http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Collie;19;8;2014;;;http://www.der.wa.gov.au/your-environment/air;;;measured data;converted from PM10;1 station, rural (small town);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Darwin;19;8;2014;1 station, residential;;http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Devonport, Tasmania;15;6;2013;1 station, residential;;Environment Protection Authority;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Geelong;18;8;2014;;;EPA Victoria, Environment Protection Authority Macleod;;;measured data;converted from PM10;1 station, Residential/Light Industry;2016;FALSE;TRUE
Wpr HI;AUS;Australia;Geraldton;22;10;2014;;;http://www.der.wa.gov.au/your-environment/air;;;measured data;converted from PM10;1 station, rural (small town);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Gladstone;14;5;2014;4 stations, Residential (outer urban);;http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/;;;measured data;measured data;4 stations, Residential (outer urban);2016;FALSE;FALSE
Wpr HI;AUS;Australia;Hobart, Tasmania;14;6;2013;1 station, residential;;Environment Protection Authority;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;La Trobe Valley;20;10;2014;3 stations, residential, rural;;http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf;;;measured data;measured data;2 stations, residential, rural;2016;FALSE;FALSE
Wpr HI;AUS;Australia;Launceston, Tasmania;19;8;2013;1 station, Rural (small town);;Environment Protection Authority;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Lower Hunter;17;7;2014;3 stations, high school;;http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Mackay;17;7;2014;;;http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf;;;measured data;converted from PM10;1 station, residential rural;2016;FALSE;TRUE
Wpr HI;AUS;Australia;Melbourne;19;8;2014;2 stations, Residential/Light Industry;;http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf;;;measured data;measured data;10 stations, Residential/Light Industry;2016;FALSE;FALSE
Wpr HI;AUS;Australia;Moranbah;21;9;2014;;;http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf;;;measured data;converted from PM10;1 station, industrial/residential;2016;FALSE;TRUE
Wpr HI;AUS;Australia;Mount Isa;16;7;2014;;;http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf;;;measured data;converted from PM10;1 station, industrial/residential;2016;FALSE;TRUE
Wpr HI;AUS;Australia;Muswellbrook;21;9;2014;;;http://www.environment.nsw.gov.au/AQMS/;;;measured data;converted from PM10;1 station, Residential (outer urban);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Newcastle;19;8;2014;;;http://www.environment.nsw.gov.au/AQMS/;;;measured data;converted from PM10;3 stations, Residential (outer urban);2016;FALSE;TRUE
Wpr HI;AUS;Australia;Palmerston;22;9;2014;1 station, industrial/residential;;http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf;;;converted from PM2.5;measured data;;2016;TRUE;FALSE
Wpr HI;AUS;Australia;Perth;17;8;2014;4 stations, Residential (outer urban);;http://www.der.wa.gov.au/your-environment/air;;;measured data;measured data;3 stations, Residential (outer urban);2016;FALSE;FALSE
Wpr HI;AUS;Australia;Singleton;21;9;2014;;;http://www.environment.nsw.gov.au/AQMS/;;;measured data;converted from PM10;1 station, Rural (small town);2016;FALSE;TRUE
