Region;Country;City/station;concentrationPM10;YearPM10;AnnualmeanPM25;Yearpm25;nbLocations;Temporal coverage;Reference;Latitude;Longitude;convertedPM10;convertedPM25;yearMerged;version
Afr;Ghana;Accra;98;2008;49;2008;4 residential and 1 roadside station in Accra;NA;"Dionisio KL, Arku RE, Hughes AF, et al. Air pollution in Accra neighborhoods: spatial, socioeconomic, and temporal patterns. Environ. Sci. Technol. 2010;44(7):2270-2276.  ";;;FALSE;FALSE;2008;2014
Afr;Liberia;Buchanan (rural);66;2009;9;2009;1 station: rural, 500m away from community, Osris;54%;Nimba Western Area Iron Ore Concentrator Mining Project, Environmental and Social impact assessment, March 2014;NA;NA;FALSE;FALSE;2009;2014
Afr;Liberia;Sanniquellie (rural);52;2009;10;2009;1 station: rural, within the community, Osiris monitors;60%;Nimba Western Area Iron Ore Concentrator Mining Project, Environmental and Social impact assessment, March 2013;NA;NA;FALSE;FALSE;2009;2014
Afr;Mauritius;Beau Bassin/Rose Hill, Coromandel;131;2011;66;;1 station: in town of Beau Bassin/Rose Hill;2 months;Environment Statistics 2011, Government of Mauritius;NA;NA;FALSE;TRUE;2011;2014
Afr;Mauritius;Bramsthan, Flacq;37;2010;19;;1 station: in Placq (rural);2 months;Environment Statistics 2010, Government of Mauritius;NA;NA;FALSE;TRUE;2010;2014
Afr;Mauritius;Midlands;20;2011;10;;1 station: rural;2 months;Environment Statistics 2011, Government of Mauritius;NA;NA;FALSE;TRUE;2011;2014
Afr;Mauritius;Port Louis;22;2010;11;;1 station: urban St Louis city;2 months;Environment Statistics 2010, Government of Mauritius;NA;NA;FALSE;TRUE;2010;2014
Afr;Senegal;Dakar;179;2012;40;2012;"3 stations in capital city: 2 traffic, 1 urban for PM10;  1 station traffic for PM2.5";NA;République du Sénégal, Ministère de l'Environnement, Suivi de la qualité de l'air à Dakar.;;;FALSE;FALSE;2012;2014
Afr;South Africa;Cape Town (urban, total);30;2011;16;;7 stations: 6 urban (incl regional urban), 1 industrial;12 months;2012 State of Air Report and National Air Quality Indicator Session 1.4 - SAAQIS, from the 7th Lekgota on Air Quality Governance;;;FALSE;TRUE;2011;2014
Afr;South Africa;Durban;26;2012;14;;5 stations: urban, mostly residential;12 months;South African Air Quality Information System, data received upon request (July 2013);;;FALSE;TRUE;2012;2014
Afr;South Africa;Highveld Priority Area Network;51;2012;24;2012;5 stations: residential;12 months;South African Air Quality Information System, data received upon request (July 2013);;;FALSE;FALSE;2012;2014
Afr;South Africa;Johannesburg;98;2011;51;;6 stations: 2 no info, 3 background, 1 urbna/commercial/industrial;12 months;2012 State of Air Report and National Air Quality Indicator Session 1.4 - SAAQIS, from the 7th Lekgota on Air Quality Governance;;;FALSE;TRUE;2011;2014
Afr;South Africa;Tshwane (Pretoria) (total, urban);59;2012;31;;6 stations: 3 no info, 3 residential/industrial;12 months;South African Air Quality Information System, data received upon request (July 2013);;;FALSE;TRUE;2012;2014
Afr;South Africa;Vaal Priority Area ;62;2012;32;2012;5 stations: urban, mostly residential;12 months;South African Air Quality Information System, data received upon request (July 2013);;;FALSE;FALSE;2012;2014
Afr;South Africa;Waterberg;48;2012;11;2012;3 stations: residential;12 months;South African Air Quality Information System, data received upon request (July 2013);;;FALSE;FALSE;2012;2014
Afr;Unit. Rep. of Tanzania;Morogoro;35;2011;23;2011;1 station, 2 measurement (during dry and wet season);33 days;"Mkoma, Stelyus L., et al. ""Characteristics of Low-Molecular Weight Carboxylic Acids in PM2. 5 and PM10 Ambient Aerosols From Tanzania."" (2012).";"06°47'41S""";"37°37'44""E";FALSE;FALSE;2011;2014
Amr;Argentina;Buenos Aires;30;2012;16;;3 stations, 2 stations in residential/commercial with fixed sources and 1 in mixed zone with medium to low traffic;73% of days in the year;Buenos Aires Ciudad. Agencia de Protección Ambiental, 2013.;34°36′S 58°23′W ;;FALSE;TRUE;2012;2014
Amr;Bolivia (Plurinational State of);Cochabamba;75;2010;41;;1 station;NA;Gobierno Municipal de Cohambra, RED Monica, 2013.;;;FALSE;TRUE;2010;2014
Amr;Bolivia (Plurinational State of);La Paz;42;2010;23;;4 stations in city centre;NA;Gobierno Autonomo Municipal de La Paz. Compendio Estatisticas Ambientales, 2011.;;;FALSE;TRUE;2010;2014
Amr;Brazil;Americana;34;2012;18;;1 station;NA;Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011.;23k 259717;7485110;FALSE;TRUE;2012;2014
Amr;Brazil;Araçatuba;39;2012;21;;1 station;NA;Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012;22k 558205;7657068;FALSE;TRUE;2012;2014
Amr;Brazil;Araraquara;31;2012;17;;1 station;NA;Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012;22k 791055;7588641;FALSE;TRUE;2012;2014
Amr;Brazil;Araucária;31;2010;17;;2 stations;NA;Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011.;;;FALSE;TRUE;2010;2014
Amr;Brazil;Bauru;30;2012;16;;1 station;NA;Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012;22k 696487;7529804;FALSE;TRUE;2012;2014
Amr;Brazil;Belo Horizonte;52;2011;28;;1 station;96%;Monitoramento da qualidade do ar na Região Metropolitana de Belo Horizonte no ano base de 2011: relatório técnico / Diretoria de Gestão da Qualidade Ambiental. --- Belo Horizonte: Fundação Estadual do Meio Ambiental, 2013.;;;FALSE;TRUE;2011;2014
Amr;Brazil;Betim;43;2011;23;;3 stations;90%;Monitoramento da qualidade do ar na Região Metropolitana de Belo Horizonte no ano base de 2011: relatório técnico / Diretoria de Gestão da Qualidade Ambiental. --- Belo Horizonte: Fundação Estadual do Meio Ambiental, 2013.;;;FALSE;TRUE;2011;2014
Amr;Brazil;Campinas-Centro;31;2012;17;;1 station;NA;Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012;23k 289010;7465832;FALSE;TRUE;2012;2014
Amr;Brazil;Carapicuíba;34;2012;18;;1 station;NA;Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012;23k 312590;7396454;FALSE;TRUE;2012;2014
Amr;Brazil;Catanduva;38;2012;21;;1 station;NA;Qualidade do ar no Estado de Dao Paulo, Sao Paulo, 2012.CETESB, 2012;22k 709521;7660921;FALSE;TRUE;2012;2014
Amr;Brazil;Colombo;46;2010;25;;1 station;NA;Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011.;;;FALSE;TRUE;2010;2014
Amr;Brazil;Curitiba;31;2010;17;;6 stations;NA;Relatorio annual da qualidade do ar na Região Metropolitana de Curitiba, Instituto Ambiental do Paraná, Curitiba, 2011.;;;FALSE;TRUE;2010;2014
