country,city,new_latitude,new_longitude
Afghanistan,Mazar-E Sharif - Camp Northern Lights,NA,NA
Australia,City Of Ipswich,NA,NA
Australia,Emu River,NA,NA
Australia,Latrobe Valley,NA,NA
Australia,Lower Hunter,NA,NA
Australia,Port Phillip,NA,NA
Austria,Altnagelberg,NA,NA
Austria,Bratislava,NA,NA
Austria,Gemeinde Gratwein,NA,NA
Austria,Graz Umgebung,NA,NA
Austria,Judendorf-Strassengel,NA,NA
Austria,Pongrazen Bei Hartberg,NA,NA
Austria,Traffic To Remove,NA,NA
Austria,Villach Innere Stadt,NA,NA
Austria,Wien-Umgebung,NA,NA
Bahrain,Nabih Saleh,NA,NA
Bahrain,Ras Hayan,NA,NA
Bahrain,Sitra,NA,NA
Bangladesh,Narayangonj,NA,NA
Belarus,Penki Mazyr District,NA,NA
Belarus,Rechitsa,NA,NA
Belgium,Beveren-Waas,NA,NA
Belgium,Oost-Vlaanderen,NA,NA
Bhutan,Bajo,NA,NA
Bhutan,Rinchending,NA,NA
Bhutan,Thiumphu,NA,NA
Bosnia & Herzegovina,Herzegovina-Neretva Canton,NA,NA
Bosnia & Herzegovina,Sarajevo Canton,NA,NA
Bosnia & Herzegovina,Zenica-Doboj Canton,NA,NA
Brazil,Campinas-Centro,NA,NA
Brazil,Campos Dos Goitacazes,NA,NA
Brazil,Cordeiripolis,NA,NA
Brazil,Dias D'ivila,NA,NA
Brazil,Médio Paraiba,NA,NA
Brazil,Regiao Estado Sao Paulo,NA,NA
Brazil,Regiao Metropolitana Do Rio De Janeiro,NA,NA
Brunei,Belait Disctrict,NA,NA
Brunei,Brunei-Muara District,NA,NA
Brunei,Temburong District,NA,NA
Bulgaria,Dolny Voden,NA,NA
Bulgaria,Gorna Oriahovica,NA,NA
Bulgaria,Pazarjik,NA,NA
Cambodia,Banlung Ratanakiri Province,NA,NA
Cambodia,Kaeb Kep Province,NA,NA
Cambodia,Kampong Cham Province,NA,NA
Cambodia,Kampong Thom,NA,NA
Cambodia,Koh Kong,NA,NA
Cambodia,Kompot,NA,NA
Cambodia,Paoy Pet Poipet Bonteay Meanchey,NA,NA
Cambodia,Phumi Samraong Otdor Mean Chey Province,NA,NA
Cambodia,Saen Monourom Mondulkiri Province,NA,NA
Cambodia,Sihanouk Vil,NA,NA
Cambodia,Sralab Tbong Khmom Province,NA,NA
Cambodia,Steung Treng,NA,NA
Cambodia,Ta Khmau Cambodge Krong Ta Khmau Kandal Province,NA,NA
Cambodia,Takeo,NA,NA
Cameroon,Yaoude,NA,NA
Canada,Cape Breton Sydney,NA,NA
Canada,Elk Island,NA,NA
Canada,Labrador,NA,NA
Canada,St Zepherin De Courval,NA,NA
Canada,Violet Grove,NA,NA
