country,city,new_longitude,new_latitude
Afghanistan,Mazar-E Sharif - Camp Northern Lights,NA,NA
Austria,Traffic To Remove,NA,NA
Bahrain,Ras Hayan,NA,NA
Bhutan,Thiumphu,NA,NA
Brazil,Cordeiripolis,NA,NA
Brazil,Dias D'ivila,NA,NA
Brunei,Belait Disctrict,NA,NA
Bulgaria,Dolny Voden,NA,NA
Bulgaria,Gorna Oriahovica,NA,NA
Bulgaria,Pazarjik,NA,NA
Cambodia,Banlung Ratanakiri Province,NA,NA
Cambodia,Kaeb Kep Province,NA,NA
Cambodia,Kampong Cham Province,NA,NA
Cambodia,Paoy Pet Poipet Bonteay Meanchey,NA,NA
Cambodia,Phumi Samraong Otdor Mean Chey Province,NA,NA
Cambodia,Saen Monourom Mondulkiri Province,NA,NA
Cambodia,Sihanouk Vil,NA,NA
Cambodia,Sralab Tbong Khmom Province,NA,NA
Cambodia,Ta Khmau Cambodge Krong Ta Khmau Kandal Province,NA,NA
Cameroon,Yaoude,NA,NA
Canada,St Zepherin De Courval,NA,NA
Canada,Violet Grove,NA,NA
Chile,"Calera, Rural",NA,NA
Chile,Comuna De Coyhaique,NA,NA
Chile,Tomtome,NA,NA
China,Alashanzuo Qi,NA,NA
China,Chiayi,NA,NA
China,Chiayi City,NA,NA
China,Danlong Road,NA,NA
China,Ewenke Zuzizhiqi,NA,NA
China,Fengtai East Street,NA,NA
China,Haozhou,NA,NA
China,Keerqinyouyiqian Qi,NA,NA
China,Kezhou,NA,NA
China,Kuerle Shi,NA,NA
China,Lvshunkou Qu,NA,NA
China,Pingtung,NA,NA
China,Shuishang Gongyuan West Road,NA,NA
China,Shunhe Huizuqu,NA,NA
China,Taihang West Street,NA,NA
China,Tap Mun Police Post,NA,NA
China,Xiangxi Tujiazumiaozuzizhizhou,NA,NA
China,Xinnong Street,NA,NA
China,Xiongguan West Road,NA,NA
China,Yuanlin East Street,NA,NA
China,Yuma Road,NA,NA
China,Zhenan Qu,NA,NA
Czechia,Mada Boleslav,NA,NA
Egypt,Delta Cities,NA,NA
Egypt,Delta Region,NA,NA
Germany,Bezirk Treptow-Köpenick,NA,NA
Greece,Amaroussio,NA,NA
Greece,Echedoro,NA,NA
Greece,Pireas,NA,NA
Greece,Vorios Tomeas Athinon,NA,NA
Hungary,Hafnarfjorour,NA,NA
Iceland,Garour,NA,NA
Iceland,Hafnarfjorour,NA,NA
Iceland,Norourbing,NA,NA
India,Angaragadia,NA,NA
India,Anklesvar,NA,NA
India,Araimile,NA,NA
India,Baldevi,NA,NA
India,Bareily,NA,NA
India,Bastacola,NA,NA
India,Bhillai,NA,NA
India,Bhubneshwar,NA,NA
India,Chadangaon,NA,NA
India,Chinsura,NA,NA
India,Chowkimann,NA,NA
India,Daranga,NA,NA
India,Devanagere,NA,NA
India,Durg-Bhillainagar,NA,NA
India,Gaddapotharam Medak District,NA,NA
India,Ghaniwala Road,NA,NA
India,Gorakpur,NA,NA
India,Gulburga,NA,NA
India,Isilvassa,NA,NA
India,Itnagar,NA,NA
India,Johnston Ganj,NA,NA
India,Kharaori,NA,NA
India,Kotladoom,NA,NA
