country,city,new_longitude,new_latitude,city_fixed
Afghanistan,Mazar-E Sharif - Camp Northern Lights,NA,NA,Mazar-E Sharif
Austria,Traffic To Remove,NA,NA,
Bahrain,Ras Hayan,NA,NA,Ras Hayyan
Bhutan,Thiumphu,NA,NA,
Brazil,Cordeiripolis,NA,NA,Cordeiropolis
Brazil,Dias D'ivila,NA,NA,Dias d'Avila
Brunei,Belait Disctrict,NA,NA,Belait
Bulgaria,Dolny Voden,NA,NA,
Bulgaria,Gorna Oriahovica,NA,NA,
Bulgaria,Pazarjik,NA,NA,
Cambodia,Banlung Ratanakiri Province,NA,NA,Banlung Ratanakiri 
Cambodia,Kaeb Kep Province,NA,NA,Kaeb Kep
Cambodia,Kampong Cham Province,NA,NA,Kampong Cham
Cambodia,Paoy Pet Poipet Bonteay Meanchey,NA,NA,
Cambodia,Phumi Samraong Otdor Mean Chey Province,NA,NA,Phumi Samraong Otdor Mean Chey
Cambodia,Saen Monourom Mondulkiri Province,NA,NA,Saen Monourom Mondulkiri
Cambodia,Sihanouk Vil,NA,NA,
Cambodia,Sralab Tbong Khmom Province,NA,NA,Sralab Tbong Khmom
Cambodia,Ta Khmau Cambodge Krong Ta Khmau Kandal Province,NA,NA,Ta Khmau Cambodge Krong Ta Khmau Kandal 
Cameroon,Yaoude,NA,NA,Yaounde
Canada,St Zepherin De Courval,NA,NA,Saint-Zephirin-de-Courval
Canada,Violet Grove,NA,NA,
Chile,"Calera, Rural",NA,NA,Calera
Chile,Comuna De Coyhaique,NA,NA,Coyhaique
Chile,Tomtome,NA,NA,TomŽ
China,Alashanzuo Qi,NA,NA,
China,Chiayi,NA,NA,
China,Chiayi City,NA,NA,Chiayi
China,Danlong Road,NA,NA,Danlong
China,Ewenke Zuzizhiqi,NA,NA,
China,Fengtai East Street,NA,NA,Fengtai
China,Haozhou,NA,NA,
China,Keerqinyouyiqian Qi,NA,NA,Keerqinyouyiqian
China,Kezhou,NA,NA,
China,Kuerle Shi,NA,NA,
China,Lvshunkou Qu,NA,NA,
China,Pingtung,NA,NA,
China,Shuishang Gongyuan West Road,NA,NA,Shuishang Gongyuan
China,Shunhe Huizuqu,NA,NA,
China,Taihang West Street,NA,NA,Taihang
China,Tap Mun Police Post,NA,NA,Tap Mun
China,Xiangxi Tujiazumiaozuzizhizhou,NA,NA,Xiangxi
China,Xinnong Street,NA,NA,Xinnong
China,Xiongguan West Road,NA,NA,Xiongguan
China,Yuanlin East Street,NA,NA,Yuanlin
China,Yuma Road,NA,NA,Yuma
China,Zhenan Qu,NA,NA,Zhenan
Czechia,Mada Boleslav,NA,NA,
Egypt,Delta Cities,NA,NA,Delta
Egypt,Delta Region,NA,NA,Delta
Germany,Bezirk Treptow-KÃ¶penick,NA,NA,Treptow-Kšpenick
Greece,Amaroussio,NA,NA,
Greece,Echedoro,NA,NA,
Greece,Pireas,NA,NA,
Greece,Vorios Tomeas Athinon,NA,NA,
Hungary,Hafnarfjorour,NA,NA,
Iceland,Garour,NA,NA,
Iceland,Hafnarfjorour,NA,NA,
Iceland,Norourbing,NA,NA,
India,Angaragadia,NA,NA,
India,Anklesvar,NA,NA,
India,Araimile,NA,NA,
India,Baldevi,NA,NA,
India,Bareily,NA,NA,
India,Bastacola,NA,NA,
India,Bhillai,NA,NA,
India,Bhubneshwar,NA,NA,
India,Chadangaon,NA,NA,
India,Chinsura,NA,NA,
India,Chowkimann,NA,NA,
India,Daranga,NA,NA,
India,Devanagere,NA,NA,
India,Durg-Bhillainagar,NA,NA,
India,Gaddapotharam Medak District,NA,NA,Gaddapotharam Medak 
India,Ghaniwala Road,NA,NA,Ghaniwala
India,Gorakpur,NA,NA,
India,Gulburga,NA,NA,
India,Isilvassa,NA,NA,
India,Itnagar,NA,NA,
India,Johnston Ganj,NA,NA,
India,Kharaori,NA,NA,
India,Kotladoom,NA,NA,
