country,to_review,suggested_standard,n1,n2,dist
Afghanistan,Kabul - Isaf Hq,Kabul,6,2,0.22222222222222232
Australia,Albury,Albany,49,34,0.22222222222222232
Australia,Deloraine,Melbourne,6,40,0.22222222222222232
Australia,Geelong,Geraldton,15,49,0.24338624338624348
Australia,Geeveston,Geelong,15,6,0.24338624338624348
Australia,Gladstone,Geraldton,49,30,0.1957671957671958
Australia,Hobard,Hobart,2,27,0.11111111111111105
Australia,Huonville,Townsville,6,19,0.17407407407407405
Australia,Judbury,Bunbury,60,6,0.19047619047619047
Australia,La Trobe Valley,Latrobe Valley,8,12,0.13235653235653233
Australia,Latrobe,Latrobe Valley,6,12,0.16666666666666674
Australia,Newcastle Lower Hunter,Newcastle,35,3,0.19696969696969702
Australia,Perth Region,Perth,70,2,0.19444444444444442
Australia,Port Phillip,Port Pirie,2,18,0.1777777777777778
Australia,Queenstown,Launceston,17,6,0.24761904761904763
Australia,Southwest,South Launceston,6,6,0.20370370370370372
Australia,Upper Hunter,Lower Hunter,8,7,0.16666666666666674
Australia,Yarwun,Darwin,61,12,0.22222222222222232
Austria,Bad Ischl,Bad Voslau,7,34,0.24444444444444446
Austria,Braunau,Braunau Am Inn,6,54,0.16666666666666674
Austria,Breitenbach Am Inn,Braunau Am Inn,54,27,0.23136123136123143
Austria,Ebenthal,Ebenthal In Karnten,10,25,0.19298245614035092
Austria,Ennsdorf,Enns,37,27,0.16666666666666674
Austria,Freistadt,Wiener Neustadt,38,58,0.2342592592592594
Austria,Gemeinde Gratwein,Gemeinde Imst,8,28,0.21417797888386125
Austria,Graz Umgebung,Graz,66,3,0.23076923076923084
Austria,Graz-Umgebung,Graz,66,25,0.23076923076923084
Austria,Grosesnserndorf,Grossenzersdorf,4,31,0.10396825396825393
Austria,Grossenzersdorf,Goss,52,31,0.24444444444444446
Austria,Haselbach,Mistelbach,30,58,0.17407407407407405
Austria,Hetzendorf,Vosendorf,27,30,0.24444444444444446
Austria,Himberg,Voitsberg,34,60,0.24338624338624348
Austria,Himberg Bei Wien,Himberg,34,25,0.1875
Austria,Hochberg,Himberg,34,24,0.22023809523809523
Austria,Hochgossnitz,Hochst,6,34,0.16666666666666674
Austria,Hochgössnitz,Hochst,24,34,0.16666666666666674
Austria,Höchst,Hochst,34,24,0.11111111111111105
