country,to_review,suggested_standard,n1,n2,dist,standard
Afghanistan,Kabul - Isaf Hq,Kabul,6,2,0.222222222,Kabul
Australia,Albury,Albany,49,34,0.222222222,
Australia,Deloraine,Melbourne,6,40,0.222222222,
Australia,Geelong,Geraldton,15,49,0.243386243,
Australia,Geeveston,Geelong,15,6,0.243386243,
Australia,Gladstone,Geraldton,49,30,0.195767196,
Australia,Hobard,Hobart,2,27,0.111111111,Hobart
Australia,Huonville,Townsville,6,19,0.174074074,
Australia,Judbury,Bunbury,60,6,0.19047619,
Australia,La Trobe Valley,Latrobe Valley,8,12,0.132356532,Latrobe Valley
Australia,Latrobe,Latrobe Valley,6,12,0.166666667,Latrobe Valley
Australia,Newcastle Lower Hunter,Newcastle,35,3,0.196969697,Newcastle
Australia,Perth Region,Perth,70,2,0.194444444,Perth
Australia,Port Phillip,Port Pirie,2,18,0.177777778,
Australia,Queenstown,Launceston,17,6,0.247619048,
Australia,Southwest,South Launceston,6,6,0.203703704,
Australia,Upper Hunter,Lower Hunter,8,7,0.166666667,
Australia,Yarwun,Darwin,61,12,0.222222222,
Austria,Bad Ischl,Bad Voslau,7,34,0.244444444,
Austria,Braunau,Braunau Am Inn,6,54,0.166666667,Braunau Am Inn
Austria,Breitenbach Am Inn,Braunau Am Inn,54,27,0.231361231,
Austria,Ebenthal,Ebenthal In Karnten,10,25,0.192982456,Ebenthal In Karnten
Austria,Ennsdorf,Enns,37,27,0.166666667,
Austria,Freistadt,Wiener Neustadt,38,58,0.234259259,
Austria,Gemeinde Gratwein,Gemeinde Imst,8,28,0.214177979,
Austria,Graz Umgebung,Graz,66,3,0.230769231,
Austria,Graz-Umgebung,Graz,66,25,0.230769231,
Austria,Grosesnserndorf,Grossenzersdorf,4,31,0.103968254,
Austria,Grossenzersdorf,Goss,52,31,0.244444444,
Austria,Haselbach,Mistelbach,30,58,0.174074074,
Austria,Hetzendorf,Vosendorf,27,30,0.244444444,
Austria,Himberg,Voitsberg,34,60,0.243386243,
Austria,Himberg Bei Wien,Himberg,34,25,0.1875,
Austria,Hochberg,Himberg,34,24,0.220238095,
Austria,Hochgossnitz,Hochst,6,34,0.166666667,
Austria,Hochgössnitz,Hochst,24,34,0.166666667,
Austria,Höchst,Hochst,34,24,0.111111111,
Austria,Jennersdorf,Ganserndorf,34,12,0.195286195,
Austria,Judendorf,Judenburg,34,30,0.222222222,
Austria,Judendorf-Strassengel,Judendorf,30,28,0.19047619,
Austria,Kematen An Der Ybbs,Kematen,31,28,0.210526316,
Austria,Kittsee,Knittelfeld,27,58,0.199134199,
Austria,Klagenfurt Am Worthersee,Klagenfurt,37,29,0.194444444,
Austria,Kloch,Koflach,27,58,0.161904762,
Austria,Klochberg,Hochberg,24,6,0.115740741,
Austria,Klöchberg,Hochberg,24,24,0.194444444,
Austria,Kramsach,Krems,30,34,0.233333333,
Austria,Krems An Der Donau,Krems,34,25,0.240740741,
Austria,Kreuzberg,Kapfenberg,58,27,0.244444444,
Austria,Kreuzberg-Ost,Kreuzberg,27,3,0.102564103,
Austria,Kristein,Kufstein,27,58,0.166666667,
Austria,Leibnitz,Lienz,61,62,0.191666667,
Austria,Lenzing,Lienz,60,62,0.20952381,
Austria,Leoben,Liezen,46,54,0.222222222,
Austria,Lienz,Wien,62,65,0.216666667,
Austria,Liezen,Lienz,62,54,0.122222222,
Austria,Muhlbach,Mistelbach,58,27,0.216666667,
Austria,Mutters,Natters,27,34,0.19047619,
Austria,Niederdorf,Biedermannsdorf,58,27,0.166666667,
Austria,Niklasdorf,Ziersdorf,12,58,0.244444444,
Austria,Obervellach-West,Obervellach,30,28,0.104166667,
Austria,Sankt Andra Im Lavanttal,Sankt Andrä Im Lavanttal,1,3,0.107487923,
Austria,Sankt Andrä Im Lavanttal,Sankt Paul Im Lavanttal,3,27,0.153731248,
Austria,Sankt Poelten,Sankt Valentin,2,27,0.238827839,
Austria,Sankt Pöelten,Sankt Polten,24,38,0.124514375,
Austria,Sankt Valentin,Sankt Polten,38,27,0.200793651,
Austria,Sankt Veit An Der Glan,Sankt Andra,52,34,0.212121212,
Austria,Schottwien,Streithofen,27,34,0.240909091,
Austria,Schwaz,Schwechat,7,38,0.203703704,
