"ID","start_year","end_year","longitude","latitude","pollutant"
1,2013,2013,-0.02611111,39.98888888,"PM10"
2,2010,2010,-0.031389,41.228889,"NO2"
3,2013,2014,-0.0314,41.2289,"NO2"
4,2013,2014,-0.03304,39.97762,"PM10"
5,2014,2021,-0.0344,40.175,"PM10"
6,2020,2020,-0.037418,51.449674,"PM10"
7,2015,2021,-0.038366667,39.98065,"PM10"
8,2010,2010,-0.039761714,39.999127,"PM10"
9,2021,2021,-0.0405,43.0962,"PM10"
10,2020,2020,-0.042155,51.52253,"NO2"
11,2010,2010,-0.0454165,43.0959705,"PM10"
12,2013,2020,-0.04645,43.0956,"PM10"
13,2013,2013,-0.05638888,39.94527777,"PM10"
14,2010,2010,-0.056389,39.945278,"PM10"
15,2013,2014,-0.0575,40.8419,"NO2"
16,2013,2013,-0.0575,40.84194,"NO2"
17,2010,2010,-0.0575,40.841944,"NO2"
18,2020,2020,-0.05955,51.480499,"PM10"
19,2013,2013,-0.065,39.8922,"PM10"
20,2010,2010,-0.065,39.892222,"PM10"
21,2011,2011,-0.065,39.99583333,"PM25"
22,2013,2013,-0.072407407,40.16064815,"PM10"
23,2014,2021,-0.0764,39.8936,"PM10"
24,2014,2021,-0.0789,40.2694,"PM25"
25,2012,2012,-0.09111111,40.63722222,"PM10"
26,2010,2010,-0.091111,40.637222,"PM10"
27,2013,2021,-0.0911,40.6372,"PM10"
28,2020,2020,-0.096736,51.591714,"NO2"
29,2015,2021,-0.1058,39.9417,"PM10"
30,2010,2010,-0.113611,40.906944,"NO2"
31,2010,2010,-0.135461,46.824369,"PM10"
32,2021,2021,-0.13555,46.8241,"PM10"
33,2013,2020,-0.1355,46.8244,"PM10"
34,2012,2012,-0.13889,41.05417,"PM10"
35,2015,2021,-0.1389,41.0542,"PM10"
36,2020,2020,-0.143271,51.5086,"PM25"
37,2010,2010,-0.146667,38.571389,"PM10"
38,2013,2013,-0.146674995,38.57139166,"PM10"
39,2014,2021,-0.1467,38.5714,"NO2"
40,2013,2013,-0.147385872,51.51899067,"PM10"
41,2010,2020,-0.147572,50.840836,"PM25"
42,2013,2013,-0.147581333,50.840824,"PM25"
43,2014,2019,-0.1476,50.8408,"PM25"
44,2010,2010,-0.148056,40.851667,"PM10"
45,2019,2019,-0.1495,51.50554375,"PM10"
46,2020,2020,-0.150579,51.53325,"PM10"
47,2013,2013,-0.151926667,41.50557333,"PM10"
48,2010,2010,-0.151944,41.505556,"PM10"
49,2014,2021,-0.1519,41.5056,"NO2"
50,2010,2010,-0.155972,41.7993055,"PM10"
51,2012,2012,-0.15597,41.799305,"PM10"
52,2013,2013,-0.15611,41.79778,"PM10"
53,2015,2021,-0.1561,41.7978,"PM10"
54,2018,2018,-0.156973333,51.50926667,"PM10"
55,2010,2010,-0.164512667,51.51541237,"PM10"
56,2017,2017,-0.1658375,51.51601875,"PM10"
57,2013,2013,-0.167717,51.1658825,"NO2"
58,2010,2010,-0.167741,51.165865,"NO2"
59,2014,2019,-0.1677,51.1659,"NO2"
60,2010,2010,-0.169444,40.735,"PM10"
61,2013,2021,-0.1694,40.735,"PM10"
62,2016,2021,-0.1697,49.1172,"PM10"
63,2014,2016,-0.176058824,51.51042941,"PM10"
64,2010,2010,-0.1872225,41.066528,"PM10"
65,2013,2013,-0.189714813,40.05192963,"PM10"
66,2010,2010,-0.189722,40.051944,"PM10"
67,2013,2013,-0.190296667,41.07102333,"PM10"
68,2014,2014,-0.1903,41.07103333,"PM10"
69,2012,2015,-0.1969,5.55602,"PM10"
70,2014,2021,-0.19805,40.06025,"PM10"
71,2010,2010,-0.19,38.966667,"PM10"
72,2013,2013,-0.19,38.966675,"PM10"
73,2014,2021,-0.19,38.9667,"PM10"
74,2020,2020,-0.213324,53.619241,"NO2"
75,2017,2019,-0.2133,53.6192,"NO2"
76,2020,2020,-0.213492,51.52105,"PM10"
77,2013,2013,-0.23332222,39.96278518,"PM10"
78,2012,2012,-0.23333333,39.96277777,"PM10"
79,2014,2021,-0.2333,39.9628,"PM10"
80,2015,2021,-0.2444,39.8236,"PM25"
81,2010,2010,-0.249167,40.416667,"NO2"
82,2013,2021,-0.2492,40.4167,"NO2"
83,2010,2010,-0.249444,40.840833,"PM10"
84,2013,2013,-0.25389,41.10583,"NO2"
85,2013,2021,-0.2598,39.66203333,"PM10"
86,2010,2010,-0.262778,40.92,"NO2"
87,2010,2010,-0.26458325,39.66770825,"PM10"
88,2020,2020,-0.265617,51.51895,"PM10"
89,2020,2020,-0.270671,51.661229,"NO2"
90,2017,2019,-0.2707,51.6612,"NO2"
91,2013,2013,-0.27105555,39.65438888,"PM10"
92,2010,2010,-0.272407333,40.94768533,"PM10"
93,2012,2012,-0.27888888,39.68472222,"PM10"
94,2013,2013,-0.29082,40.94668,"PM10"
95,2014,2021,-0.2908,40.9467,"PM10"
96,2013,2013,-0.298777,51.617333,"PM25"
97,2013,2013,-0.300304,52.13241133,"PM10"
98,2010,2020,-0.300306,52.132417,"PM10"
99,2014,2019,-0.3003,52.1324,"PM10"
100,2018,2019,-0.3191,49.1783,"NO2"
101,2010,2010,-0.322778,43.307778,"PM10"
102,2013,2019,-0.3228,43.3078,"PM10"
103,2010,2010,-0.323361,45.694725,"PM10"
104,2015,2019,-0.32345,53.7539,"PM10"
105,2020,2020,-0.3234855,53.7538755,"PM10"
106,2013,2019,-0.3234,45.6947,"PM10"
107,2010,2010,-0.326667,41.288333,"NO2"
108,2013,2014,-0.3267,41.2883,"NO2"
109,2010,2010,-0.336667,39.705278,"NO2"
110,2013,2013,-0.336674995,39.70528333,"PM10"
111,2014,2021,-0.3367,39.7053,"PM10"
112,2013,2013,-0.339647,51.42099,"NO2"
113,2010,2013,-0.341222,53.74878,"PM10"
114,2013,2014,-0.3412,53.7488,"PM10"
115,2020,2020,-0.345606,51.425286,"PM10"
116,2010,2010,-0.352778,49.151667,"NO2"
117,2013,2021,-0.3592,39.7822,"PM10"
118,2010,2010,-0.363333,41.321111,"NO2"
